TEMPERATURE,CPU_USAGE,CPU_1,CPU_2,CPU_3,CPU_4
46.2,29.6,31.0,25.0,24.5,34.3
44.8,28.3,27.3,31.6,31.0,25.3
45.7,29.1,21.4,29.7,34.3,35.4
45.2,26.6,19.6,43.3,17.5,31.4
46.2,34.0,43.0,51.5,45.9,17.2
46.7,27.4,36.7,27.3,29.0,24.2
47.7,29.8,23.7,30.3,19.8,35.4
47.2,28.5,25.8,21.6,36.0,28.0
46.2,29.0,28.3,26.3,35.0,25.5
47.2,27.6,31.7,23.0,35.3,31.1
45.7,28.6,52.5,25.0,17.3,16.5
46.2,28.2,32.0,36.7,22.5,22.4
46.7,29.3,47.9,22.8,17.5,28.7
47.2,28.7,27.8,22.7,24.2,39.6
46.2,29.1,31.3,30.3,32.7,28.1
46.7,29.2,23.5,22.2,24.8,42.0
46.7,26.9,23.2,27.5,32.7,28.6
47.2,26.9,27.0,30.6,18.8,36.4
46.7,27.9,21.9,33.3,31.6,26.0
47.7,28.0,17.6,49.0,22.0,18.0
48.2,28.7,32.3,24.5,23.2,23.2
46.7,28.7,28.0,39.2,20.4,24.5
47.7,28.3,21.1,25.0,27.2,36.7
46.7,28.2,28.6,11.1,29.7,41.2
46.7,25.3,18.2,21.8,21.0,45.3
47.7,27.5,25.0,27.0,24.5,32.7
48.2,28.2,17.9,47.5,21.8,27.5
47.2,28.9,30.6,49.0,21.8,12.0
47.7,28.2,45.9,13.4,25.5,18.7
47.2,29.8,42.0,18.4,26.7,22.4
46.7,28.3,38.0,28.1,17.2,33.3
47.7,29.0,46.9,28.7,18.0,22.0
46.7,29.1,52.5,23.8,18.0,18.8
47.7,28.2,30.2,30.7,24.5,21.4
48.2,28.0,16.3,40.4,35.1,22.8
47.7,28.2,27.2,51.0,19.0,22.0
48.2,30.5,26.5,32.4,36.7,19.6
48.2,29.3,52.4,23.2,17.0,19.2
47.7,28.1,32.4,29.3,21.0,29.2
47.7,27.6,33.0,21.0,45.9,20.8
47.2,28.9,29.7,24.5,23.5,41.3
47.2,28.3,32.0,22.4,28.1,34.7
48.7,31.4,21.6,50.0,21.2,18.9
48.7,30.1,32.7,32.7,19.4,22.2
47.7,28.6,29.2,25.3,32.7,27.3
47.2,28.0,29.6,27.7,24.0,35.0
48.2,29.4,21.2,41.8,22.0,33.3
47.2,27.6,21.4,26.0,38.0,26.3
49.1,29.9,37.0,32.7,24.0,21.1
48.2,29.4,33.0,25.8,34.0,25.0
48.2,25.6,34.7,23.2,29.7,31.7
